CMDLINE /usr/bin/python3 test_memory.py
MEM 68.367188 1544226636.9423
MEM 68.367188 1544226637.0425
MEM 68.367188 1544226637.1427
MEM 68.367188 1544226637.2428
MEM 68.367188 1544226637.3430
MEM 68.367188 1544226637.4432
MEM 68.367188 1544226637.5435
MEM 68.367188 1544226637.6438
MEM 68.367188 1544226637.7439
MEM 68.367188 1544226637.8442
MEM 68.367188 1544226637.9443
MEM 68.367188 1544226638.0444
MEM 68.367188 1544226638.1445
MEM 68.367188 1544226638.2446
MEM 68.367188 1544226638.3448
MEM 68.367188 1544226638.4450
MEM 68.367188 1544226638.5451
MEM 68.367188 1544226638.6453
MEM 68.367188 1544226638.7455
MEM 68.367188 1544226638.8457
MEM 68.367188 1544226638.9460
MEM 68.367188 1544226639.0462
MEM 68.367188 1544226639.1464
MEM 68.367188 1544226639.2465
MEM 68.367188 1544226639.3466
MEM 68.367188 1544226639.4469
MEM 68.367188 1544226639.5471
MEM 68.367188 1544226639.6473
MEM 68.367188 1544226639.7475
MEM 68.367188 1544226639.8476
MEM 68.367188 1544226639.9479
MEM 68.367188 1544226640.0480
MEM 68.367188 1544226640.1483
MEM 68.367188 1544226640.2486
MEM 68.367188 1544226640.3488
MEM 68.367188 1544226640.4490
MEM 68.367188 1544226640.5493
MEM 68.621094 1544226640.6494
MEM 68.621094 1544226640.7495
MEM 68.621094 1544226640.8496
MEM 68.621094 1544226640.9498
MEM 68.621094 1544226641.0499
MEM 68.621094 1544226641.1502
MEM 68.621094 1544226641.2503
MEM 68.621094 1544226641.3504
MEM 68.621094 1544226641.4505
MEM 68.621094 1544226641.5506
MEM 68.621094 1544226641.6507
MEM 68.621094 1544226641.7509
MEM 68.621094 1544226641.8510
MEM 68.621094 1544226641.9511
MEM 68.621094 1544226642.0512
MEM 68.621094 1544226642.1514
MEM 68.621094 1544226642.2517
MEM 68.621094 1544226642.3518
MEM 68.621094 1544226642.4520
MEM 68.621094 1544226642.5522
MEM 68.621094 1544226642.6523
MEM 68.621094 1544226642.7525
MEM 68.621094 1544226642.8526
MEM 68.621094 1544226642.9527
MEM 68.621094 1544226643.0529
MEM 68.621094 1544226643.1530
MEM 68.621094 1544226643.2531
MEM 68.878906 1544226643.3534
MEM 68.878906 1544226643.4537
MEM 68.878906 1544226643.5538
MEM 68.878906 1544226643.6539
MEM 68.878906 1544226643.7541
MEM 68.878906 1544226643.8542
MEM 68.878906 1544226643.9543
MEM 68.878906 1544226644.0545
MEM 68.878906 1544226644.1546
MEM 68.878906 1544226644.2547
MEM 68.878906 1544226644.3549
MEM 68.878906 1544226644.4552
MEM 68.878906 1544226644.5554
MEM 68.878906 1544226644.6556
MEM 69.175781 1544226644.7558
MEM 69.187500 1544226644.8560
MEM 69.199219 1544226644.9563
MEM 69.234375 1544226645.0564
MEM 69.492188 1544226645.1565
MEM 69.515625 1544226645.2566
MEM 69.550781 1544226645.3568
MEM 69.804688 1544226645.4570
MEM 69.804688 1544226645.5573
MEM 69.804688 1544226645.6575
MEM 69.804688 1544226645.7576
MEM 69.804688 1544226645.8577
MEM 69.804688 1544226645.9579
MEM 69.804688 1544226646.0581
MEM 69.804688 1544226646.1584
MEM 69.804688 1544226646.2586
MEM 69.804688 1544226646.3588
MEM 69.804688 1544226646.4590
MEM 69.804688 1544226646.5593
MEM 69.804688 1544226646.6596
MEM 69.804688 1544226646.7598
MEM 69.804688 1544226646.8600
MEM 69.804688 1544226646.9601
MEM 69.804688 1544226647.0603
MEM 69.804688 1544226647.1606
MEM 69.804688 1544226647.2607
MEM 69.804688 1544226647.3608
MEM 69.804688 1544226647.4610
MEM 69.804688 1544226647.5612
MEM 69.804688 1544226647.6615
MEM 69.804688 1544226647.7617
MEM 69.804688 1544226647.8619
MEM 69.804688 1544226647.9620
MEM 69.804688 1544226648.0622
MEM 69.804688 1544226648.1623
MEM 69.804688 1544226648.2624
MEM 69.804688 1544226648.3625
MEM 69.804688 1544226648.4626
MEM 69.804688 1544226648.5627
MEM 69.804688 1544226648.6628
MEM 69.804688 1544226648.7631
MEM 69.804688 1544226648.8634
MEM 69.804688 1544226648.9635
MEM 69.804688 1544226649.0637
MEM 69.804688 1544226649.1639
MEM 69.804688 1544226649.2642
MEM 69.804688 1544226649.3643
MEM 69.804688 1544226649.4645
MEM 69.804688 1544226649.5646
MEM 69.804688 1544226649.6647
MEM 69.804688 1544226649.7648
MEM 69.804688 1544226649.8651
MEM 69.804688 1544226649.9654
MEM 69.804688 1544226650.0655
MEM 69.804688 1544226650.1657
MEM 69.804688 1544226650.2658
MEM 69.804688 1544226650.3659
MEM 69.804688 1544226650.4661
MEM 69.804688 1544226650.5662
MEM 69.804688 1544226650.6663
MEM 69.804688 1544226650.7664
MEM 69.804688 1544226650.8665
MEM 69.804688 1544226650.9667
MEM 69.804688 1544226651.0669
MEM 69.804688 1544226651.1671
MEM 69.804688 1544226651.2673
MEM 69.804688 1544226651.3675
MEM 69.804688 1544226651.4677
MEM 69.804688 1544226651.5679
MEM 69.804688 1544226651.6681
MEM 69.804688 1544226651.7682
MEM 69.804688 1544226651.8685
MEM 69.804688 1544226651.9687
MEM 69.804688 1544226652.0689
MEM 69.804688 1544226652.1692
MEM 69.804688 1544226652.2695
MEM 69.804688 1544226652.3696
MEM 69.804688 1544226652.4698
MEM 69.804688 1544226652.5699
MEM 69.804688 1544226652.6700
MEM 69.804688 1544226652.7701
MEM 69.804688 1544226652.8702
MEM 69.804688 1544226652.9703
MEM 69.804688 1544226653.0705
MEM 69.804688 1544226653.1706
MEM 69.804688 1544226653.2707
MEM 69.804688 1544226653.3710
MEM 69.804688 1544226653.4711
MEM 69.804688 1544226653.5713
MEM 69.804688 1544226653.6714
MEM 69.804688 1544226653.7716
MEM 69.804688 1544226653.8718
MEM 69.804688 1544226653.9720
MEM 69.804688 1544226654.0722
MEM 69.804688 1544226654.1725
MEM 69.804688 1544226654.2726
MEM 69.804688 1544226654.3728
MEM 70.062500 1544226654.4729
MEM 70.062500 1544226654.5731
MEM 70.062500 1544226654.6733
MEM 70.062500 1544226654.7735
MEM 70.062500 1544226654.8736
MEM 70.062500 1544226654.9737
MEM 70.062500 1544226655.0739
MEM 70.062500 1544226655.1741
MEM 70.062500 1544226655.2744
MEM 70.062500 1544226655.3746
MEM 70.062500 1544226655.4748
MEM 70.062500 1544226655.5750
MEM 70.062500 1544226655.6752
